source,category,item_name,high,low,avg,avg_chg,avg_chg_pct,avg_cny,date
pvinsights,PV PolySilicon,PV Grade PolySilicon  (9N/9N+),23.00,3.70,4.65,-0.01,-0.21%,35.7,2026-05-27
pvinsights,Solar PV Wafer,156 mm Multi Solar Wafer,0.165,0.060,0.072,0,0%,0.55,2026-05-27
pvinsights,Solar PV Wafer,182mm Mono Solar Wafer,0.300,0.110,0.125,0,0%,0.96,2026-05-27
pvinsights,Solar PV Wafer,210mm Mono Solar Wafer,0.405,0.150,0.178,0,0%,1.36,2026-05-27
pvinsights,Solar PV Wafer,182.2mm x 183.75mm N Mono Wafer,0.310,0.110,0.117,0,0%,0.90,2026-05-27
pvinsights,Solar PV Cell,Multi Cell Price,0.110,0.035,0.041,0,0%,0.314,2026-05-27
pvinsights,Solar PV Cell,Poly PERC Cell,0.080,0.035,0.041,0,0%,0.314,2026-05-27
pvinsights,Solar PV Cell,China Mono PERC Cell,0.075,0.040,0.043,0,0%,0.330,2026-05-27
pvinsights,Solar PV Cell,166mm Mono PERC Cell,0.095,0.040,0.043,0,0%,0.330,2026-05-27
pvinsights,Solar PV Cell,182mm Mono PERC Cell,0.110,0.040,0.044,0,0%,0.337,2026-05-27
pvinsights,Solar PV Cell,210mm Mono PERC Cell,0.110,0.040,0.044,0,0%,0.337,2026-05-27
pvinsights,Solar PV Cell,182mm N-Mono Cell,0.110,0.040,0.044,0,0%,0.337,2026-05-27
pvinsights,Solar PV Module,Poly Module,0.290,0.070,0.086,0,0%,0.659,2026-05-27
pvinsights,Solar PV Module,182mm 550/595Wp PERC Module,0.300,0.080,0.088,0,0%,0.675,2026-05-27
pvinsights,Solar PV Module,210mm 600/660Wp PERC Module,0.300,0.085,0.091,0,0%,0.698,2026-05-27
pvinsights,Solar PV Module,Mono PERC Module in China,0.095,0.080,0.086,0,0%,0.659,2026-05-27
pvinsights,Solar PV Module,182mm 580/625Wp N-Mono Module,0.170,0.080,0.092,0,0%,0.705,2026-05-27
pvinsights,Solar PV Module,ThinFilm Solar Module,0.340,0.120,0.200,0,0%,1.533,2026-05-27
