source,category,item_name,high,low,avg,change,date
energytrend,Polysilicon (Per KG),N-Type Recharge Polysilicon (RMB),34,33,33.5,( 0.0 % ),2026-07-22
energytrend,Polysilicon (Per KG),N-Type Dense Polysilicon (RMB),33,32,32.5,( 0.0 % ),2026-07-22
energytrend,Polysilicon (Per KG),N-Type Granular Polysilicon (RMB),32,30,31,( 0.0 % ),2026-07-22
energytrend,Polysilicon (Per KG),Polysilicon Outside China (USD),22,13.1,17.5,( 0.0 % ),2026-07-22
energytrend,Wafer (Per Pcs.),N-Type M10 Mono Wafer - 183mm/130μm (RMB),0.85,0.83,0.84,( -1.18 % ),2026-07-22
energytrend,Wafer (Per Pcs.),N-Type G12 Mono Wafer - 210mm/130μm (RMB),1.13,1.1,1.13,( -1.74 % ),2026-07-22
energytrend,Wafer (Per Pcs.),N-Type 210R Mono Wafer-210*182mm/130μm (RMB),0.93,0.9,0.93,( -2.11 % ),2026-07-22
energytrend,Cell (Per Watt),M10L TOPCon Cell (RMB),0.27,0.265,0.265,( 0.0 % ),2026-07-22
energytrend,Cell (Per Watt),G12 TOPCon Cell (RMB),0.265,0.26,0.26,( -3.7 % ),2026-07-22
energytrend,Cell (Per Watt),G12R TOPCon Cell (RMB),0.265,0.26,0.26,( -1.89 % ),2026-07-22
energytrend,Module (Per Watt),182mm TOPCon Module (RMB),0.69,0.65,0.68,( -1.45 % ),2026-07-22
energytrend,Module (Per Watt),210mm HJT Module (RMB),0.8,0.7,0.7,( -7.89 % ),2026-07-22
energytrend,China Projects Module (Per Watt),Ground-mounted Project 182-210mm TOPCon Module (RMB),0.72,0.65,0.7,( -2.78 % ),2026-07-22
energytrend,China Projects Module (Per Watt),Distributed project 182-210mm TOPCon Module (RMB),0.75,0.67,0.72,( -4.0 % ),2026-07-22
energytrend,PV Glass,2.0mm Double-glazed and Coated PV Glass (RMB),10.5,9.5,10,( 0.0 % ),2026-07-22
energytrend,PV Glass,3.2mm Double-glazed and Coated PV Glass (RMB),17,16,16.5,( 0.0 % ),2026-07-22
energytrend,PV Glass,2.0 Rear PV Glass (RMB),8.5,8,8,( 0.0 % ),2026-07-22
